country,fluregion,whoregion,year,tot_cases,B%,AH1%,AH3%,p,q,u,v
Austria,South West Europe,European Region of WHO,2010,930,0.211827956989247,0.774193548387097,0.0139784946236559,0.5806135307137014,2.838540063081025,0.7175,0.96
Austria,South West Europe,European Region of WHO,2011,765,0.116320176334423,0.0001692708333333,0.883510552832244,1.8391769630311636,-6.052946136625488,0.95125,0.01375
Austria,South West Europe,European Region of WHO,2012,2770,0.397111913357401,0.511913357400722,0.0909747292418773,0.49794008183254224,1.221579021404466,0.6875,0.81125
Austria,South West Europe,European Region of WHO,2013,1240,0.0419354838709677,0.483064516129032,0.475,-1.9886592131916379,0.01190443573148301,0.095,0.50375
Austria,South West Europe,European Region of WHO,2014,2508,0.264752791068581,0.20933014354067,0.52591706539075,-0.18430904545985305,-0.6514086094463953,0.42124999999999996,0.33625
Austria,South West Europe,European Region of WHO,2015,1831,0.564718732932824,0.334243582741671,0.101037684325505,0.9166366216316295,0.8459659059035222,0.8225,0.73875
Austria,South West Europe,European Region of WHO,2016,2382,0.017632241813602,0.0201511335012594,0.962216624685139,-1.687307270566362,-2.7336600141491414,0.125,0.10875
Austria,South West Europe,European Region of WHO,2017,5309,0.659822942173667,0.284611037860237,0.0555660199660953,1.353444217331377,1.1550954179733417,0.9075,0.8
Austria,South West Europe,European Region of WHO,2018,3492,0.0045819014891179,0.670962199312715,0.324455899198167,-3.77492262717132,0.5137577497564049,0.0325,0.6525
Austria,South West Europe,European Region of WHO,2019,5729,0.228312096351894,0.326584046081341,0.445103857566766,-0.41868634208975947,-0.21893462212229756,0.33999999999999997,0.44125
Bangladesh,Southern Asia,South-East Asia Region of WHO,2010,456,0.414473684210526,0.37280701754386,0.212719298245614,0.3155696474512898,0.3967487467772247,0.62875,0.61125
Bangladesh,Southern Asia,South-East Asia Region of WHO,2011,647,0.346213292117465,0.28902627511592,0.364760432766615,0.052399354685210356,-0.16456014449508244,0.5275,0.45625
Bangladesh,Southern Asia,South-East Asia Region of WHO,2012,502,0.474103585657371,0.470119521912351,0.0557768924302789,0.8771235064250341,1.5072881151510589,0.8099999999999999,0.85375
Bangladesh,Southern Asia,South-East Asia Region of WHO,2013,526,0.224334600760456,0.153992395437262,0.621673003802281,-0.2625200119873629,-0.9867753027930979,0.39499999999999996,0.26375
Bangladesh,Southern Asia,South-East Asia Region of WHO,2014,592,0.408783783783784,0.0709459459459459,0.52027027027027,0.6164982137629236,-1.4088608804930747,0.73375,0.195
Bangladesh,Southern Asia,South-East Asia Region of WHO,2015,844,0.232227488151659,0.574644549763033,0.193127962085308,-0.29462045122231345,0.7710283079883619,0.38625,0.72
Bangladesh,Southern Asia,South-East Asia Region of WHO,2016,753,0.472775564409031,0.0212483399734396,0.50597609561753,1.2388185634489437,-2.2416774504461725,0.88625,0.13
Bangladesh,Southern Asia,South-East Asia Region of WHO,2017,1160,0.289655172413793,0.442241379310345,0.268103448275862,-0.14119121684120048,0.3538948757864476,0.43875,0.59875
